timestamp,views,reach,like_count,comments_count,shares,saved,total_interactions,caption,permalink
2026-09-24T20:02:50+0000,193,172,10,2,0,1,14,"Existem duas versões sobre a fé de Charles Darwin — uma da aula ateia, outra de parte do m",https://www.instagram.com/reel/DdrshDqFC4v/
2026-09-24T17:00:02+0000,656,490,39,0,3,11,55,"""Giordano Bruno foi queimado porque defendia a ciência."" É o que está na prova de história",https://www.instagram.com/reel/DdrXpuJD3k8/
2026-09-24T11:35:27+0000,315,253,11,0,1,5,17,O átomo não matou Deus na cabeça do seu filho. Quem matou foi a aula.  A tese de doutorado,https://www.instagram.com/reel/DdqyhL2lQn2/
2026-09-23T22:40:28+0000,835,690,62,10,4,9,89,O professor que passa o semestre desconstruindo os valores do seu filho se formou numa uni,https://www.instagram.com/reel/DdpZz38AMYq/
2026-09-23T18:39:26+0000,317,254,19,0,1,5,28,Transport & Environment (27/05/2021): jato privado polui 5 a 14x MAIS por passageiro que v,https://www.instagram.com/reel/Ddo-L7cAi-5/
2026-09-23T11:20:25+0000,377,301,33,1,12,3,56,"Semana do Fórum de Davos de 2022 (estudo CE Delft/Greenpeace, 13/01/2023):  1.040 voos de ",https://www.instagram.com/reel/DdoL_wMjE2M/
2026-09-22T21:19:06+0000,245,222,13,2,0,3,18,Finlândia — Eduskunta (Parlamento) aprovou em 29/04/2025 a alteração da Lei da Educação Bá,https://www.instagram.com/reel/DdmrsP9jNIB/
2026-09-22T18:12:15+0000,630,548,57,3,3,8,73,"Coreia do Sul — Assembleia Nacional, 27/08/2025: revisão da Lei da Educação Elementar e Se",https://www.instagram.com/reel/DdmWVpAj1st/
2026-09-22T10:37:16+0000,1344,1086,117,11,118,41,307,Essa é a maior mentira que já te contaram sobre Karl Marx: que ele começou estudando econo,https://www.instagram.com/reel/DdliRNwj7Ms/
2026-09-21T21:07:11+0000,162,116,14,2,0,2,19,Existe um filósofo grego antigo que Karl Marx e Olavo de Carvalho estudaram com extrema pr,https://www.instagram.com/reel/DdkFj75kp15/
2026-09-21T17:57:53+0000,381,288,29,2,6,4,43,Noventa por cento das pessoas da direita que citam Olavo de Carvalho nunca abriram a princ,https://www.instagram.com/reel/Ddjv5ALDBMJ/
2026-09-21T11:42:00+0000,282,237,23,2,1,7,35,"NYT, 26/10/2018 (Nellie Bowles): John Lilly, ex-CEO da Mozilla (Firefox), sobre o filho de",https://www.instagram.com/reel/DdjE4wpjOQE/
2026-09-20T21:23:06+0000,314,258,14,0,3,5,23,"NYT, 26/10/2018 (Nellie Bowles), texto integral na sindicação da SBS: o Vale do Silício e ",https://www.instagram.com/reel/DdhijFxim1n/
2026-09-20T19:29:01+0000,333,277,18,0,3,8,30,A Pedagogia do Esquecimento não precisa te vencer. Só precisa que você esqueça de conversa,https://www.instagram.com/reel/DdhVfw1kyp2/
2026-09-20T15:05:28+0000,1187,950,138,2,44,31,232,"7 sinais — com documento:  1. Palavra virada do avesso (Marcuse, 1965) 2. Corrigir virou """,https://www.instagram.com/reel/Ddg3UO1CU1T/
2026-09-19T21:16:12+0000,405,326,37,2,2,5,50,Pesquisa do Harvard Crimson com 406 docentes (set/2025):  Progressistas: 63%. Conservadore,https://www.instagram.com/reel/Dde8_7uD0QK/
2026-09-19T16:54:51+0000,520,435,24,0,2,4,35,"Congresso, 05/12/2023 — ""Pedir o genocídio dos judeus viola as regras de Harvard?"" Respost",https://www.instagram.com/reel/DdefGLBEy2A/
2026-09-18T20:38:24+0000,1177,988,83,6,26,13,131,Harvard Crimson (03/09/2024): Harvard criou o Math MA5 — reforço de fundamentos de álgebra,https://www.instagram.com/reel/DdcT4bsjz_P/
2026-09-18T11:39:00+0000,691,560,53,3,4,9,74,"Suprema Corte, 29/06/2023 (6 a 2, opinião de John Roberts):  O processo mostrou candidatos",https://www.instagram.com/reel/DdbWGF6iKGF/
2026-09-17T21:04:35+0000,294,197,42,6,2,2,56,"O pior integrante do STF não é quem grita no plenário, não é quem ameaça e nem quem bate b",https://www.instagram.com/reel/DdZyFnqjY9u/
2026-09-17T17:06:22+0000,2824,2199,60,8,3,1,75,"O maior hipócrita do STF não é Alexandre de Moraes, não é Gilmar Mendes, e muito menos Flá",https://www.instagram.com/reel/DdZW0tsEmyD/
2026-09-17T11:11:23+0000,4092,3483,117,20,4,16,165,Eu assisti a sessão inteira do STF. E preciso falar como pai cristão e pesquisador em filo,https://www.instagram.com/reel/DdYuM6YE-Pk/
2026-09-16T17:57:08+0000,217,163,11,0,1,4,17,Kit da reunião de pais:  Doc 1 — UNESCO (26/07/2023): celular fora da escola quando atrapa,https://www.instagram.com/reel/DdW3xn8DB40/
2026-09-16T11:31:44+0000,290,247,11,0,5,1,18,BNCC — o piso de conteúdo de TODA escola do Brasil (a particular também).  Aprovada no CNE,https://www.instagram.com/reel/DdWLsPhiQvD/
2026-09-15T21:56:00+0000,250,178,22,6,2,3,37,PNE (Lei 13.005/2014) — o plano de 10 anos da educação.  Na comissão da Câmara (22/04/2014,https://www.instagram.com/reel/DdUuYCAjEK8/
2026-09-15T16:07:23+0000,80,69,9,0,0,1,11,"3 coisas que o STF decidiu na ADI 5537 (ago/2020, 9 a 1):  (1) estado não legisla sobre is",https://www.instagram.com/reel/DdUGa3cAEct/
2026-09-15T11:32:30+0000,263,205,25,4,1,6,39,"Marcuse, ""Tolerância Repressiva"" (1965, Beacon Press). A frase, ao pé da letra:  ""Tolerânc",https://www.instagram.com/reel/DdTm9whEsW4/
2026-09-14T20:47:44+0000,1603,1311,143,8,29,35,227,"Gramsci, preso em 1926. Nos Cadernos do Cárcere (1929–1935, ~3.000 páginas), a frase:  ""To",https://www.instagram.com/reel/DdSBxGnFs7C/
